ts_code,trade_date,close,M5,M10,M20,M30
000001.SZ,20230630,11.23,11.23,11.36,11.59,11.76
000001.SZ,20230629,11.18,11.26,11.38,11.61,11.8
000001.SZ,20230628,11.3,11.29,11.44,11.64,11.85
000001.SZ,20230627,11.28,11.32,11.49,11.68,11.9
000001.SZ,20230626,11.18,11.39,11.55,11.72,11.94
000001.SZ,20230621,11.35,11.48,11.64,11.76,12.0
000001.SZ,20230620,11.36,11.5,11.7,11.79,12.05
000001.SZ,20230619,11.45,11.59,11.75,11.83,12.11
000001.SZ,20230616,11.63,11.65,11.8,11.88,12.17
000001.SZ,20230615,11.61,11.7,11.83,11.91,12.21
000001.SZ,20230614,11.47,11.81,11.82,11.96,12.25
000001.SZ,20230613,11.77,11.9,11.84,12.01,
000001.SZ,20230612,11.79,11.91,11.85,12.05,
000001.SZ,20230609,11.88,11.94,11.87,12.1,
000001.SZ,20230608,12.12,11.95,11.89,12.14,
000001.SZ,20230607,11.94,11.84,11.87,12.18,
000001.SZ,20230606,11.84,11.77,11.88,12.22,
000001.SZ,20230605,11.91,11.78,11.91,12.29,
000001.SZ,20230602,11.93,11.79,11.96,12.36,
000001.SZ,20230601,11.59,11.83,12.0,12.41,
000001.SZ,20230531,11.6,11.9,12.09,12.46,
000001.SZ,20230530,11.87,11.98,12.18,,
000001.SZ,20230529,11.98,12.05,12.26,,
000001.SZ,20230526,12.1,12.13,12.34,,
000001.SZ,20230525,11.93,12.17,12.39,,
000001.SZ,20230524,12.01,12.29,12.48,,
000001.SZ,20230523,12.21,12.38,12.57,,
000001.SZ,20230522,12.38,12.46,12.66,,
000001.SZ,20230519,12.34,12.55,12.76,,
000001.SZ,20230518,12.49,12.61,12.81,,
000001.SZ,20230517,12.49,12.68,12.84,,
000001.SZ,20230516,12.62,12.75,,,
000001.SZ,20230515,12.83,12.86,,,
000001.SZ,20230512,12.62,12.96,,,
000001.SZ,20230511,12.85,13.02,,,
000001.SZ,20230510,12.84,12.99,,,
000001.SZ,20230509,13.16,,,,
000001.SZ,20230508,13.32,,,,
000001.SZ,20230505,12.91,,,,
000001.SZ,20230504,12.73,,,,
