trade_date,open,close,high,low,volume,money
2018-01-02,4045.21,4087.4,4087.78,4045.21,14693543500.0,1.78402032875e+11
2018-01-03,4091.46,4111.39,4140.05,4088.73,15185221800.0,2.05726889556e+11
2018-01-04,4114.12,4128.81,4137.64,4105.89,13454379400.0,1.74523556133e+11
2018-01-05,4133.34,4138.75,4151.28,4123.28,14900987200.0,1.85206293226e+11
2018-01-08,4140.85,4160.16,4166.32,4127.31,17387766600.0,2.26403872932e+11
2018-01-09,4157.54,4189.3,4191.28,4153.5,13903429400.0,1.81975079758e+11
2018-01-10,4187.2,4207.81,4211.05,4175.14,15112166600.0,1.94850253886e+11
2018-01-11,4197.11,4205.59,4211.8,4181.96,12157853900.0,1.70407305946e+11
2018-01-12,4205.14,4225.0,4227.39,4199.03,11135479400.0,1.57606210635e+11
2018-01-15,4229.84,4225.24,4262.93,4216.36,17090789700.0,2.34986586088e+11
2018-01-16,4215.62,4258.47,4260.21,4213.13,16149496300.0,2.28271224756e+11
2018-01-17,4261.78,4248.12,4283.34,4230.54,21431103200.0,2.84554359815e+11
2018-01-18,4259.38,4271.42,4292.64,4246.68,17203284600.0,2.25289688909e+11
2018-01-19,4281.94,4285.4,4316.57,4269.62,20949057000.0,2.5855472536e+11
2018-01-22,4276.48,4336.6,4338.48,4275.9,17464319500.0,2.33960223311e+11
2018-01-23,4346.89,4382.61,4383.57,4346.79,20186758500.0,2.57113359897e+11
2018-01-24,4389.45,4389.89,4397.82,4349.09,21981888900.0,2.8447080953e+11
2018-01-25,4381.98,4365.08,4392.2,4336.24,19537495000.0,2.5030809187e+11
2018-01-26,4352.22,4381.3,4403.34,4351.49,17722723700.0,2.23331309122e+11
2018-01-29,4387.06,4302.02,4395.91,4287.11,19110035400.0,2.56176323789e+11
2018-01-30,4286.68,4256.1,4308.51,4251.57,13903473000.0,1.86650566155e+11
2018-01-31,4234.11,4275.9,4287.86,4232.77,14521016400.0,1.94401798025e+11
2018-02-01,4276.34,4245.9,4287.39,4214.29,19000293400.0,2.39230298933e+11
2018-02-02,4213.94,4271.23,4271.76,4181.78,14606682700.0,1.91169867288e+11
2018-02-05,4204.46,4274.15,4274.15,4200.14,16134779900.0,2.17360144504e+11
2018-02-06,4182.33,4148.89,4211.52,4131.56,21491045000.0,2.79415083155e+11
2018-02-07,4205.74,4050.5,4212.57,4048.42,20312749300.0,2.61507027391e+11
2018-02-08,4022.88,4012.05,4071.67,3974.68,15926998500.0,1.99061771955e+11
2018-02-09,3896.17,3840.65,3911.29,3759.15,20634982800.0,2.46774828431e+11
2018-02-12,3846.27,3890.1,3907.84,3828.07,11618263700.0,1.49858043556e+11
2018-02-13,3925.6,3935.63,3986.98,3925.6,11256588500.0,1.44479354377e+11
2018-02-14,3945.09,3966.96,3971.4,3923.13,7108133800.0,93110201390.0
2018-02-22,4020.97,4052.73,4058.79,4009.92,10581157100.0,1.38334361735e+11
2018-02-23,4061.75,4071.09,4085.2,4035.23,9945874600.0,1.28195835194e+11
2018-02-26,4093.4,4118.42,4128.74,4048.98,13788100100.0,1.79013093605e+11
2018-02-27,4120.87,4058.98,4120.87,4051.81,12593447000.0,1.69684900954e+11
2018-02-28,4016.79,4023.64,4051.71,3991.71,10934359300.0,1.52493909262e+11
2018-03-01,3994.87,4049.09,4061.03,3986.89,11019985200.0,1.46003456663e+11
2018-03-02,4014.95,4016.46,4044.42,4006.94,9616500000.0,1.30931181201e+11
2018-03-05,4021.66,4018.1,4042.83,3995.87,8795254800.0,1.18197859452e+11
2018-03-06,4034.99,4066.56,4067.55,3998.93,13876244400.0,1.71370654136e+11
2018-03-07,4063.5,4036.65,4089.7,4027.94,10695242600.0,1.3657230556e+11
2018-03-08,4038.95,4077.6,4078.23,4029.71,9115581000.0,1.2363463712e+11
2018-03-09,4088.07,4108.87,4110.67,4076.45,11370180800.0,1.50024119651e+11
2018-03-12,4130.71,4127.67,4139.53,4112.77,14090673900.0,1.90367593786e+11
2018-03-13,4124.33,4091.25,4130.28,4087.56,11176643000.0,1.41174160638e+11
2018-03-14,4076.06,4073.34,4089.09,4066.49,9901340900.0,1.3153795937e+11
2018-03-15,4058.71,4096.16,4098.99,4058.71,8816115600.0,1.26882452702e+11
2018-03-16,4096.89,4056.42,4110.05,4055.82,8489618800.0,1.22125342027e+11
2018-03-19,4054.62,4074.25,4074.52,4033.52,8150288200.0,1.1818381514e+11
2018-03-20,4045.74,4077.7,4080.19,4040.31,8060528000.0,1.11980234031e+11
2018-03-21,4097.02,4061.05,4110.12,4046.24,9760948800.0,1.39330411871e+11
2018-03-22,4062.07,4020.35,4072.38,4003.72,8909525900.0,1.2766433799e+11
2018-03-23,3896.74,3904.94,3928.51,3834.94,18008044900.0,2.18905031317e+11
2018-03-26,3862.69,3879.89,3883.9,3829.92,11513912800.0,1.56604527227e+11
2018-03-27,3927.49,3913.27,3936.78,3881.87,11370071100.0,1.62291546573e+11
2018-03-28,3865.05,3842.72,3907.28,3835.88,10149490800.0,1.55848951057e+11
2018-03-29,3854.59,3894.05,3913.96,3794.26,11662906600.0,1.64996782981e+11
2018-03-30,3893.75,3898.5,3915.35,3879.21,9751227000.0,1.37959280455e+11
2018-04-02,3897.01,3886.92,3937.02,3882.89,11124266600.0,1.59356080038e+11
2018-04-03,3850.15,3862.48,3878.15,3839.93,9513736900.0,1.32049936105e+11
2018-04-04,3873.63,3854.86,3898.61,3852.5,8873060900.0,1.31593067938e+11
2018-04-09,3851.95,3852.93,3870.67,3827.41,8410546200.0,1.18167273509e+11
2018-04-10,3860.72,3927.17,3927.42,3851.8,10617372200.0,1.37941300225e+11
2018-04-11,3934.17,3938.34,3958.71,3924.96,11193302100.0,1.3998929063e+11
2018-04-12,3935.67,3898.64,3937.78,3896.18,8269949000.0,1.08075565476e+11
2018-04-13,3920.74,3871.14,3929.95,3866.19,7154420300.0,98921826969.0
2018-04-16,3862.47,3808.86,3869.16,3789.61,9921777000.0,1.31566866868e+11
2018-04-17,3812.87,3748.64,3822.63,3745.44,9061079000.0,1.26518751972e+11
2018-04-18,3785.31,3766.28,3789.66,3708.11,10667670600.0,1.43077676004e+11
2018-04-19,3774.78,3811.84,3824.03,3767.8,9905406000.0,1.27520121562e+11
2018-04-20,3801.21,3760.85,3815.44,3750.1,9928292500.0,1.23550664541e+11
2018-04-23,3754.69,3766.33,3787.4,3735.18,9035629100.0,1.117630315e+11
2018-04-24,3769.88,3843.49,3854.43,3769.88,11421952500.0,1.45700512791e+11
2018-04-25,3824.59,3828.7,3838.69,3817.03,7817261200.0,1.05750449452e+11
2018-04-26,3823.39,3755.49,3828.71,3744.89,8715064100.0,1.25772304515e+11
2018-04-27,3771.04,3756.88,3776.98,3714.64,8953172600.0,1.421136276e+11
2018-05-02,3769.93,3763.65,3787.3,3744.55,8330103500.0,1.2008348329e+11
2018-05-03,3756.17,3793.0,3797.53,3732.37,9396111800.0,1.22740168864e+11
2018-05-04,3784.32,3774.6,3801.52,3770.94,7155428800.0,98315254609.0
2018-05-07,3782.54,3834.19,3834.59,3776.03,8728619500.0,1.26354800811e+11
2018-05-08,3834.61,3878.68,3892.07,3833.73,9421515700.0,1.35445862529e+11
2018-05-09,3876.13,3871.62,3878.94,3855.74,6671296600.0,92322896271.0
2018-05-10,3882.84,3893.06,3894.49,3867.31,7066780900.0,1.03255140585e+11
2018-05-11,3902.15,3872.84,3903.34,3871.95,7335660400.0,1.0771545704e+11
2018-05-14,3886.87,3909.29,3919.3,3886.87,8197599900.0,1.22520047995e+11
2018-05-15,3920.14,3924.1,3924.34,3892.92,7604955500.0,1.06091905845e+11
2018-05-16,3909.82,3892.84,3923.34,3889.19,7191364600.0,1.06533930265e+11
2018-05-17,3895.49,3864.05,3899.51,3858.85,5903012300.0,87104164680.0
2018-05-18,3860.16,3903.06,3903.06,3841.9,7261395600.0,96823851809.0
2018-05-21,3925.54,3921.24,3937.46,3913.6,9264173700.0,1.20528726019e+11
2018-05-22,3918.82,3906.21,3918.82,3881.17,7536877800.0,1.02883344897e+11
2018-05-23,3898.27,3854.58,3898.27,3854.58,8372231900.0,1.10684503206e+11
2018-05-24,3853.29,3827.22,3859.1,3823.92,6834502200.0,93408219637.0
2018-05-25,3823.74,3816.5,3841.12,3804.13,7083638600.0,95667543827.0
2018-05-28,3816.26,3833.26,3846.55,3799.32,7152113200.0,1.00001639047e+11
2018-05-29,3824.19,3804.01,3841.78,3800.67,8155266200.0,1.17288580582e+11
2018-05-30,3755.18,3723.37,3767.89,3722.07,8791328500.0,1.1585897581e+11
2018-05-31,3749.3,3802.38,3804.79,3742.53,9266689400.0,1.3054542218e+11
2018-06-01,3789.67,3770.59,3802.54,3753.84,7782181300.0,1.05934865863e+11
2018-06-04,3785.19,3807.58,3813.41,3776.62,7662434100.0,1.1514646845e+11
2018-06-05,3811.29,3845.32,3845.56,3800.93,7868736000.0,1.21261467224e+11
2018-06-06,3839.68,3837.35,3848.33,3830.9,7311723700.0,1.07142041766e+11
2018-06-07,3846.94,3831.01,3859.85,3827.69,8025614700.0,1.12365710702e+11
2018-06-08,3819.45,3779.62,3819.46,3759.27,8333733500.0,1.07818798321e+11
2018-06-11,3770.21,3779.98,3792.55,3756.51,6870983400.0,1.05597924649e+11
2018-06-12,3783.19,3825.95,3830.47,3765.26,7320624400.0,1.16217139615e+11
2018-06-13,3814.62,3788.34,3817.45,3782.07,6637797000.0,97185498920.0
2018-06-14,3774.64,3773.37,3808.16,3759.25,6847132200.0,99234014984.0
2018-06-15,3763.04,3753.43,3780.34,3737.43,8548889300.0,1.09534900847e+11
2018-06-19,3702.67,3621.12,3712.82,3583.02,16070654200.0,1.93848797293e+11
2018-06-20,3602.55,3635.44,3649.34,3578.17,8671809800.0,1.12804812786e+11
2018-06-21,3633.56,3592.97,3673.56,3589.49,9390855200.0,1.15584149028e+11
2018-06-22,3567.89,3608.9,3609.08,3542.46,7511786400.0,89687282053.0
2018-06-25,3625.8,3560.48,3631.03,3559.03,7987707800.0,1.06690345317e+11
2018-06-26,3521.59,3531.11,3541.78,3478.21,8498526900.0,1.08132167346e+11
2018-06-27,3525.13,3459.26,3537.66,3441.78,8149181700.0,1.07628896582e+11
2018-06-28,3434.94,3423.53,3477.06,3416.95,7591805100.0,98570527345.0
2018-06-29,3431.96,3510.98,3512.38,3425.22,7725703100.0,97616367299.0
2018-07-02,3504.46,3407.96,3506.9,3383.5,8435144900.0,1.07601540659e+11
2018-07-03,3410.48,3409.28,3422.04,3319.29,9527869300.0,1.29898019347e+11
2018-07-04,3398.78,3363.75,3418.33,3359.09,7515799700.0,93648559089.0
2018-07-05,3365.55,3342.44,3398.49,3330.71,8158798100.0,97544619590.0
2018-07-06,3347.06,3365.12,3396.25,3295.73,8609757900.0,1.09481942501e+11
2018-07-09,3378.91,3459.18,3459.32,3378.91,7660154500.0,1.00918863679e+11
2018-07-10,3464.91,3467.52,3474.14,3437.27,6954882300.0,90127445728.0
2018-07-11,3398.93,3407.53,3427.57,3375.14,7204095000.0,89661507129.0
2018-07-12,3403.33,3481.06,3499.1,3403.33,9635356400.0,1.17805514793e+11
2018-07-13,3488.5,3492.69,3499.76,3474.91,7295589700.0,99800184924.0
2018-07-16,3488.97,3472.09,3506.24,3459.73,6828199900.0,90754288081.0
2018-07-17,3466.42,3449.38,3467.19,3420.97,6198307600.0,85720563654.0
2018-07-18,3456.61,3431.32,3479.26,3430.16,6653033000.0,88556873195.0
2018-07-19,3444.8,3428.34,3466.51,3417.96,6847771600.0,88804907805.0
2018-07-20,3426.46,3492.89,3505.93,3398.95,10198472700.0,1.22196953815e+11
2018-07-23,3471.86,3525.75,3527.53,3464.65,11903662700.0,1.43960930682e+11
2018-07-24,3530.66,3581.71,3596.51,3530.66,15691243500.0,1.77448954019e+11
2018-07-25,3589.51,3577.75,3589.98,3566.31,9675850100.0,1.12176694173e+11
2018-07-26,3583.32,3536.25,3593.92,3528.64,9034964100.0,1.05577285189e+11
