datetime,low,high,trading_date,open,total_turnover,close,open_interest,volume,dominant_id
2020-1-2 9:30,91.105,91.205,2020-1-2,91.18,5457473050,91.14,75951,5566,T2003
2020-1-2 9:45,91.13,91.16,2020-1-2,91.14,1749297450,91.14,76051,1784,T2003
2020-1-2 10:00,91.14,91.17,2020-1-2,91.14,2025113950,91.145,76199,2065,T2003
2020-1-2 10:15,91.145,91.205,2020-1-2,91.145,1930413850,91.195,76258,1968,T2003
2020-1-2 10:30,91.185,91.215,2020-1-2,91.195,1681597650,91.185,76092,1714,T2003
2020-1-2 10:45,91.15,91.195,2020-1-2,91.185,1662591800,91.155,76104,1695,T2003
2020-1-2 11:00,91.135,91.18,2020-1-2,91.155,2262427600,91.16,76532,2307,T2003
2020-1-2 11:15,91.135,91.17,2020-1-2,91.16,1135577250,91.145,76627,1158,T2003
2020-1-2 11:30,91.045,91.15,2020-1-2,91.145,4442487400,91.08,76680,4533,T2003
2020-1-2 13:15,91.03,91.095,2020-1-2,91.08,2106330300,91.09,76681,2150,T2003
2020-1-2 13:30,91.065,91.115,2020-1-2,91.09,1661092850,91.07,76975,1695,T2003
2020-1-2 13:45,91.06,91.1,2020-1-2,91.07,1132739550,91.075,77110,1156,T2003
2020-1-2 14:00,91.07,91.105,2020-1-2,91.075,950596650,91.09,77155,970,T2003
2020-1-2 14:15,91.08,91.11,2020-1-2,91.09,732102650,91.1,77212,747,T2003
2020-1-2 14:30,91.095,91.12,2020-1-2,91.1,1209528750,91.105,77212,1234,T2003
2020-1-2 14:45,91.06,91.105,2020-1-2,91.105,1563859000,91.065,77008,1596,T2003
2020-1-2 15:00,91.04,91.08,2020-1-2,91.065,1383337050,91.07,76967,1412,T2003
2020-1-2 15:15,91.065,91.105,2020-1-2,91.07,1304357400,91.105,76631,1331,T2003
2020-1-3 9:30,91,91.115,2020-1-3,91.1,3861628200,91.07,76885,3942,T2003
2020-1-3 9:45,91.035,91.07,2020-1-3,91.07,1274405850,91.04,76896,1301,T2003
2020-1-3 10:00,91.03,91.065,2020-1-3,91.04,1615313850,91.035,77095,1649,T2003
2020-1-3 10:15,91.02,91.04,2020-1-3,91.035,1645369250,91.035,76922,1680,T2003
2020-1-3 10:30,90.95,91.035,2020-1-3,91.035,2707921100,90.985,76711,2766,T2003
2020-1-3 10:45,90.975,91.02,2020-1-3,90.985,2042348200,91.01,76750,2086,T2003
2020-1-3 11:00,90.99,91.02,2020-1-3,91.01,1912194600,91.015,76747,1953,T2003
2020-1-3 11:15,91.01,91.055,2020-1-3,91.015,2033290900,91.055,76942,2076,T2003
2020-1-3 11:30,91.055,91.135,2020-1-3,91.055,2766722950,91.12,76871,2823,T2003
2020-1-3 13:15,91.12,91.165,2020-1-3,91.12,2733605850,91.13,76950,2788,T2003
2020-1-3 13:30,91.115,91.14,2020-1-3,91.135,1647045400,91.12,76773,1680,T2003
2020-1-3 13:45,91.085,91.125,2020-1-3,91.12,2121992250,91.095,77058,2165,T2003
2020-1-3 14:00,91.09,91.12,2020-1-3,91.095,1148740700,91.105,76983,1172,T2003
2020-1-3 14:15,91.095,91.115,2020-1-3,91.105,780197550,91.1,76926,796,T2003
2020-1-3 14:30,91.075,91.105,2020-1-3,91.1,1124053850,91.08,76807,1147,T2003
2020-1-3 14:45,91.075,91.125,2020-1-3,91.08,1399794450,91.12,77085,1428,T2003
2020-1-3 15:00,91.07,91.135,2020-1-3,91.12,1520201200,91.07,76956,1551,T2003
2020-1-3 15:15,91.055,91.095,2020-1-3,91.07,1288452300,91.065,76547,1315,T2003
2020-1-6 9:30,91.1,91.18,2020-1-6,91.145,3123594550,91.11,76332,3186,T2003
2020-1-6 9:45,91.1,91.12,2020-1-6,91.11,1642827800,91.11,76197,1676,T2003
2020-1-6 10:00,91.085,91.115,2020-1-6,91.11,1418252700,91.115,76100,1447,T2003
2020-1-6 10:15,91.09,91.12,2020-1-6,91.115,785073350,91.11,76113,801,T2003
2020-1-6 10:30,91.1,91.14,2020-1-6,91.11,1735177700,91.14,75971,1770,T2003
2020-1-6 10:45,91.13,91.16,2020-1-6,91.14,1788454750,91.14,76123,1824,T2003
2020-1-6 11:00,91.125,91.15,2020-1-6,91.135,1832502300,91.15,75572,1869,T2003
2020-1-6 11:15,91.145,91.18,2020-1-6,91.145,1739805700,91.175,75567,1774,T2003
2020-1-6 11:30,91.165,91.19,2020-1-6,91.175,1445838750,91.18,75633,1474,T2003
2020-1-6 13:15,91.175,91.195,2020-1-6,91.185,1682365400,91.185,75561,1715,T2003
2020-1-6 13:30,91.18,91.195,2020-1-6,91.185,740639300,91.19,75619,755,T2003
2020-1-6 13:45,91.19,91.285,2020-1-6,91.19,2928922850,91.275,75841,2984,T2003
2020-1-6 14:00,91.26,91.295,2020-1-6,91.275,1922537450,91.28,76169,1958,T2003
2020-1-6 14:15,91.27,91.35,2020-1-6,91.275,3208114900,91.335,76255,3266,T2003
2020-1-6 14:30,91.335,91.365,2020-1-6,91.335,1525990350,91.345,76441,1553,T2003
2020-1-6 14:45,91.3,91.36,2020-1-6,91.345,2267334200,91.3,76440,2308,T2003
2020-1-6 15:00,91.27,91.31,2020-1-6,91.3,1718542800,91.3,76651,1750,T2003
2020-1-6 15:15,91.255,91.315,2020-1-6,91.305,1980572800,91.27,76922,2017,T2003
2020-1-7 9:30,91.145,91.24,2020-1-7,91.215,4983726450,91.175,76320,5081,T2003
2020-1-7 9:45,91.12,91.185,2020-1-7,91.175,2697645750,91.14,76512,2751,T2003
2020-1-7 10:00,91.14,91.17,2020-1-7,91.14,1803471050,91.165,76394,1839,T2003
2020-1-7 10:15,91.16,91.195,2020-1-7,91.165,1510557600,91.18,76189,1540,T2003
2020-1-7 10:30,91.175,91.21,2020-1-7,91.175,1321416500,91.195,76164,1347,T2003
2020-1-7 10:45,91.185,91.215,2020-1-7,91.195,1098828150,91.21,76200,1120,T2003
2020-1-7 11:00,91.2,91.22,2020-1-7,91.21,1661149600,91.21,76246,1693,T2003
2020-1-7 11:15,91.185,91.21,2020-1-7,91.21,1473566300,91.19,76114,1502,T2003
2020-1-7 11:30,91.185,91.21,2020-1-7,91.19,1194960050,91.19,76158,1218,T2003
2020-1-7 13:15,91.145,91.195,2020-1-7,91.19,1574095600,91.165,76048,1605,T2003
2020-1-7 13:30,91.14,91.18,2020-1-7,91.165,1316118250,91.18,76110,1342,T2003
2020-1-7 13:45,91.165,91.2,2020-1-7,91.18,1217351500,91.2,76174,1241,T2003
2020-1-7 14:00,91.115,91.205,2020-1-7,91.2,3243924100,91.135,75958,3308,T2003
2020-1-7 14:15,91.125,91.165,2020-1-7,91.135,2243541250,91.145,76090,2288,T2003
2020-1-7 14:30,91.115,91.145,2020-1-7,91.145,1825500800,91.13,76086,1862,T2003
2020-1-7 14:45,91.13,91.15,2020-1-7,91.135,982443950,91.135,75972,1002,T2003
2020-1-7 15:00,91.1,91.14,2020-1-7,91.135,2201654250,91.1,75816,2246,T2003
2020-1-7 15:15,91.08,91.12,2020-1-7,91.1,2759038400,91.095,75532,2815,T2003
2020-1-8 9:30,91.175,91.24,2020-1-8,91.21,4157103200,91.195,75727,4237,T2003
2020-1-8 9:45,91.14,91.21,2020-1-8,91.195,2801233450,91.165,75753,2856,T2003
2020-1-8 10:00,91.125,91.18,2020-1-8,91.165,2286931650,91.17,75648,2332,T2003
2020-1-8 10:15,91.145,91.175,2020-1-8,91.17,1610234350,91.155,75509,1642,T2003
2020-1-8 10:30,91.15,91.175,2020-1-8,91.155,1547621050,91.165,75520,1578,T2003
2020-1-8 10:45,91.13,91.165,2020-1-8,91.165,1751333550,91.13,75447,1786,T2003
2020-1-8 11:00,91.05,91.135,2020-1-8,91.135,4123816850,91.055,74720,4208,T2003
2020-1-8 11:15,91.045,91.09,2020-1-8,91.055,1924361950,91.09,74335,1964,T2003
2020-1-8 11:30,91.05,91.095,2020-1-8,91.09,2085137200,91.095,73827,2128,T2003
2020-1-8 13:15,91.11,91.135,2020-1-8,91.11,2003763850,91.125,73254,2044,T2003
2020-1-8 13:30,91.115,91.15,2020-1-8,91.125,1540278600,91.15,73341,1571,T2003
2020-1-8 13:45,91.14,91.155,2020-1-8,91.15,1339477700,91.145,73245,1366,T2003
2020-1-8 14:00,91.145,91.195,2020-1-8,91.145,1587907450,91.19,73409,1619,T2003
2020-1-8 14:15,91.155,91.2,2020-1-8,91.19,1574315600,91.17,73312,1605,T2003
2020-1-8 14:30,91.165,91.21,2020-1-8,91.17,1605935450,91.2,73550,1637,T2003
2020-1-8 14:45,91.17,91.215,2020-1-8,91.2,1831451100,91.175,73683,1867,T2003
2020-1-8 15:00,91.175,91.195,2020-1-8,91.175,1535219600,91.185,73675,1565,T2003
2020-1-8 15:15,91.185,91.205,2020-1-8,91.185,1756060000,91.2,73688,1790,T2003
2020-1-9 9:30,91.01,91.14,2020-1-9,91.13,5214093100,91.055,73595,5322,T2003
2020-1-9 9:45,91.05,91.17,2020-1-9,91.055,5187795000,91.16,73867,5293,T2003
2020-1-9 10:00,91.155,91.275,2020-1-9,91.16,6564333550,91.27,74460,6689,T2003
2020-1-9 10:15,91.23,91.285,2020-1-9,91.27,3310245300,91.26,74663,3372,T2003
2020-1-9 10:30,91.215,91.265,2020-1-9,91.26,2105452000,91.22,74863,2145,T2003
2020-1-9 10:45,91.215,91.245,2020-1-9,91.22,1986292150,91.23,74934,2024,T2003
2020-1-9 11:00,91.225,91.25,2020-1-9,91.23,781245300,91.235,74961,796,T2003
2020-1-9 11:15,91.205,91.24,2020-1-9,91.235,1096086900,91.22,74923,1117,T2003
2020-1-9 11:30,91.22,91.285,2020-1-9,91.22,1525438350,91.275,75147,1554,T2003
2020-1-9 13:15,91.275,91.305,2020-1-9,91.28,2231119500,91.28,75503,2272,T2003
2020-1-9 13:30,91.245,91.29,2020-1-9,91.28,1922298550,91.275,75500,1958,T2003
2020-1-9 13:45,91.27,91.325,2020-1-9,91.275,3299903050,91.3,75700,3360,T2003
2020-1-9 14:00,91.29,91.34,2020-1-9,91.3,3839960300,91.315,75910,3909,T2003
2020-1-9 14:15,91.3,91.335,2020-1-9,91.315,2659901550,91.31,76457,2708,T2003
2020-1-9 14:30,91.305,91.37,2020-1-9,91.31,3227520550,91.34,76803,3285,T2003
2020-1-9 14:45,91.32,91.355,2020-1-9,91.34,1705615800,91.345,77019,1736,T2003
2020-1-9 15:00,91.34,91.43,2020-1-9,91.345,3666428400,91.43,77561,3730,T2003
2020-1-9 15:15,91.315,91.48,2020-1-9,91.43,6774613600,91.32,77995,6892,T2003
2020-1-10 9:30,91.32,91.38,2020-1-10,91.355,2630411400,91.355,77817,2677,T2003
2020-1-10 9:45,91.35,91.51,2020-1-10,91.355,5395869550,91.505,78475,5486,T2003
2020-1-10 10:00,91.51,91.63,2020-1-10,91.51,8988541150,91.555,78858,9128,T2003
2020-1-10 10:15,91.52,91.565,2020-1-10,91.555,2879664100,91.55,78539,2925,T2003
2020-1-10 10:30,91.535,91.56,2020-1-10,91.555,2157237450,91.56,78773,2191,T2003
2020-1-10 10:45,91.55,91.585,2020-1-10,91.56,2008835850,91.555,78967,2040,T2003
2020-1-10 11:00,91.555,91.605,2020-1-10,91.555,1943277000,91.59,79348,1973,T2003
2020-1-10 11:15,91.55,91.6,2020-1-10,91.59,1692898900,91.6,79334,1719,T2003
2020-1-10 11:30,91.585,91.65,2020-1-10,91.6,1934925700,91.64,79679,1964,T2003
