date,prev_settlement,low,high,prev_close,limit_up,open,total_turnover,limit_down,close,open_interest,settlement,volume,dominant_id
2020-1-2,91.245,91.03,91.215,98.135,93.205,91.18,34390924200,89.285,91.105,76631,91.08,35081,T2003
2020-1-3,91.08,90.95,91.165,98.015,93.035,91.1,33623278450,89.125,91.065,76547,91.095,34318,T2003
2020-1-6,91.095,91.085,91.365,97.975,93.055,91.145,33486547650,89.135,91.27,76922,91.31,34127,T2003
2020-1-7,91.31,91.08,91.24,98.18,93.27,91.215,35108989550,89.35,91.095,75532,91.115,35800,T2003
2020-1-8,91.115,91.045,91.24,98.005,93.075,91.21,37062182600,89.155,91.2,73688,91.185,37795,T2003
2020-1-9,91.185,91.01,91.48,98.11,93.145,91.13,57098342950,89.225,91.32,77995,91.37,58162,T2003
2020-1-10,91.37,91.32,91.665,98.23,93.335,91.355,43640559900,89.405,91.65,79216,91.6,44323,T2003
2020-1-13,91.6,91.545,91.675,98.56,93.57,91.64,26300072150,89.63,91.59,78046,91.575,26698,T2003
2020-1-14,91.575,91.45,91.565,98.5,93.54,91.53,35214500100,89.61,91.53,76378,91.545,35781,T2003
2020-1-15,91.545,91.5,91.715,98.44,93.51,91.6,37284031050,89.58,91.615,74856,91.63,37848,T2003
2020-1-16,91.63,91.45,91.65,98.525,93.6,91.585,42875085750,89.66,91.54,73990,91.555,43538,T2003
2020-1-17,91.555,91.44,91.74,98.45,93.52,91.54,47253123200,89.59,91.71,74156,91.7,47964,T2003
2020-1-20,91.7,91.75,92.01,98.62,93.67,91.775,33207041950,89.73,92.005,73078,91.975,33605,T2003
2020-1-21,91.975,91.96,92.28,98.915,93.95,91.99,40775090000,90,92.255,71089,92.235,41159,T2003
2020-1-22,92.235,92.22,92.535,99.165,94.215,92.455,32799874100,90.255,92.22,68382,92.245,33043,T2003
2020-1-23,92.245,92.33,92.79,99.13,94.225,92.415,37472739650,90.265,92.78,66494,92.7,37670,T2003
2020-2-3,92.7,93.885,94.595,99.69,94.69,93.99,52792854800,90.71,94.06,57874,94.12,52196,T2003
2020-2-4,94.12,93.87,94.075,100.97,96.14,94.055,33938346900,92.1,93.875,56434,93.93,33651,T2003
2020-2-5,93.93,93.67,93.995,100.785,95.945,93.74,39291589350,91.915,93.955,55062,93.95,39011,T2003
2020-2-6,93.95,93.825,94.065,100.865,95.965,93.89,34774377650,91.935,94,53963,93.97,34478,T2003
